subject,body,sender,url,label
Bank Statement: Review suspicious wire transfers from your account,"Congratulations! Your email address has been selected as the grand prize winner of $1,250.00 in our promotional sweepstakes. To claim your reward, click here https://verify-paypal-identity-secure.com/login and fill in the form.",billing@apple-id-verify.com,https://verify-paypal-identity-secure.com/login,1
Bug ticket #9283 has been resolved by developer,Please be advised that we will be performing scheduled server maintenance this Sunday between 2:00 AM and 4:00 AM. Expect brief downtime on the internal portal.,newsletter@pythonweekly.com,https://meet.google.com/abc-defg-hij,0
Blocked Transaction Notice - Call support center,Congratulations on being a valued customer! We are giving away $45.50 shopping vouchers to random users. Claim your coupon code now at https://verify-paypal-identity-secure.com/login before the offer expires tonight.,invoices@overdue-billing-dept.com,https://verify-paypal-identity-secure.com/login,1
Project Update: Weekly Sync and Deliverables,"Hi all, here is my weekly status report. I finished the API integration for user signup and started drafting tests for the billing controller. Next week, I'll focus on deployment.",techlead@company.com,https://spotify.com/account,0
Tax Refund Voucher Request Form from IRS,"Start earning $1,250.00 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at https://chase-bank-verify-account.net/login.php to receive your starter kit.",billing@netflx-renew.com,https://chase-bank-verify-account.net/login.php,1
Newsletter: Top coding trends for 2026,Thank you for your payment. Your Spotify Premium subscription has been renewed. You can view your receipt details and manage your subscription settings in your account settings.,designer@company.com,https://drive.google.com/drive/folders/123,0
"Official Notification: You have won $1,000,000 Cash Prize!","A wire transfer of $1,250.00 to Michael Johnson is currently pending authorization. If you did not authorize this, click here http://apple-id-restore-suspended-account.com to cancel the transaction and claim a full refund.",admin@microsoft-security-auth.com,http://apple-id-restore-suspended-account.com,1
Meeting Minutes: Product design review session,"Hey! Yes, I looked at the codebase refactoring. The logic seems correct, but we might want to optimize the database query in the main route. Let's discuss it further.",mentor@company.com,https://calendly.com/manager/review,0
Weekly status report - Engineering Team,"In this week's issue, we cover the latest updates in Python 3.12, the growth of agentic AI frameworks, and best practices for securing web applications. Happy reading!",hr@company.com,,0
FedEx Notification: Package delivery failure - click to update,You have a pending Target gift card worth $45.50. Click the link to claim your reward voucher: http://apple-id-restore-suspended-account.com. Offer ends in 24 hours.,promotions@target-giftcard-deals.com,http://apple-id-restore-suspended-account.com,1
Upcoming system maintenance window: Sunday 2 AM,Your monthly AWS bill is ready. The total charge of $45.50 has been billed to your credit card ending in 74174. View the full cost breakdown in your Billing Console.,agency@webdesign.com,,0
"DHL Delivery Status: Shipment on hold, update address info","Your subscription has failed to renew because your credit card on file was declined. To avoid service disruption, please update your billing details here: http://bit.ly/secure-login-392fk immediately. Thank you.",billing@apple-id-verify.com,http://bit.ly/secure-login-392fk,1
Apple ID locked: Confirm identity to unlock your account,This is an official notice from your banking institution. Your access has been locked due to multiple failed login attempts. Verify your ownership by completing the security questionnaire at https://verify-paypal-identity-secure.com/login.,security@bank-verify-access.com,https://verify-paypal-identity-secure.com/login,1
Employee portal password reset - Urgent verification,"Someone has requested to change your password from Tokyo. If you did not request this, please secure your account by logging in here: http://overdue-invoice-pdf-download.com immediately.",alert@paypal-access-verify.net,http://overdue-invoice-pdf-download.com,1
Tax Refund Voucher Request Form from IRS,Your Apple account has been suspended for security reasons. Click http://192.168.1.104/secure/netflix/update to confirm your Apple ID and credit card details to restore services.,invoices@overdue-billing-dept.com,http://192.168.1.104/secure/netflix/update,1
Verify your Bank Account details within 24 hours,"Dear customer, we detected unusual activities on your account. To prevent permanent suspension, you must verify your identity immediately by clicking on this link: http://bit.ly/secure-login-392fk. Please do it within 24 hours.",promo@target-reward-claims.com,http://bit.ly/secure-login-392fk,1
Amazon.com Customer Service: Claim your $100 Reward Voucher,"Dear customer, we detected unusual activities on your account. To prevent permanent suspension, you must verify your identity immediately by clicking on this link: https://irs-tax-refund-portal-direct.com/deposit. Please do it within 24 hours.",promo@target-reward-claims.com,https://irs-tax-refund-portal-direct.com/deposit,1
Get rich quick! Invest in this secret stock now,You have a pending Target gift card worth $150.00. Click the link to claim your reward voucher: http://microsoft-password-reset.com/auth/login. Offer ends in 24 hours.,billing@apple-id-verify.com,http://microsoft-password-reset.com/auth/login,1
Project Update: Weekly Sync and Deliverables,"Here are the minutes from today's product design review. We decided to go ahead with the dark mode layout. Action items are assigned in Jira, let's target completing them by Wednesday.",billing@aws.amazon.com,https://pycon.org/2026/tickets,0
Bank Statement: Review suspicious wire transfers from your account,"A wire transfer of $499.99 to Alice Smith is currently pending authorization. If you did not authorize this, click here https://target-promo-voucher-claim.info to cancel the transaction and claim a full refund.",billing@apple-id-verify.com,https://target-promo-voucher-claim.info,1
Employee portal password reset - Urgent verification,Your parcel with tracking ID DHL-47584 has arrived at our warehouse but is on hold due to incorrect address information. Please pay the redelivery fee of $1.99 and update details at http://bit.ly/secure-login-392fk.,security@chase-fraud-alert.com,http://bit.ly/secure-login-392fk,1
Urgent: Action Required - Account Suspended,Start earning $45.50 per day working from home for only 2 hours. This is a limited time opportunity. Register your banking details today at http://facebook-security-breach-alert.com to receive your starter kit.,promotions@target-giftcard-deals.com,http://facebook-security-breach-alert.com,1
Bug ticket #9283 has been resolved by developer,"Hey, we are planning family dinner at Mom's place this Sunday at 6 PM. Let me know if you can bring some dessert or drinks. Looking forward to seeing everyone!",techlead@company.com,https://meet.google.com/abc-defg-hij,0
Project Update: Weekly Sync and Deliverables,"Hey, just checking if you are still free for lunch tomorrow at 1:00 PM? There is a new Italian restaurant nearby that we should try.",receipts@ubereats.com,,0
Your monthly receipt for Spotify Premium subscription,"Your monthly AWS bill is ready. The total charge of $1,250.00 has been billed to your credit card ending in 71939. View the full cost breakdown in your Billing Console.",designer@company.com,https://github.com/company/project,0
