text,label
Security Notice: System administrators require you to confirm your identity within 24 hours. Failure to comply leads to termination. Log in here: http://secure-access-update.com,1
Exclusive Offer: Get free access to premium streaming accounts. Enter your email and current password to start your subscription: http://free-streaming-access.org,1
"Hello team, this is HR Department sending the notes regarding our shared documentation. Let me know if you have any questions. Have a great day.",0
Re: Project Planning. I have reviewed the design documentation and left several comments on the shared drive. Let's discuss on Slack.,0
Weekly status update: Sprint 4 is progressing on schedule. Please make sure all tasks on JIRA are updated by Friday 5 PM.,0
Action Required: System administrators require you to check unauthorized logins within 24 hours. Failure to comply leads to termination. Log in here: http://resolution-center.org,1
Immediate Action Needed: System administrators require you to verify your account credentials within 24 hours. Failure to comply leads to termination. Log in here: http://verify-now.net,1
"Hello team, this is John sending the notes regarding our meeting agenda. Let me know if you have any questions. Best.",0
Security Notice: System administrators require you to verify your account credentials within 24 hours. Failure to comply leads to termination. Log in here: http://verify-now.net,1
"Your Zoom meeting password has been updated. If you did not request this, please change your security settings inside the portal.",0
"Hello team, this is Sarah sending the notes regarding our project updates. Let me know if you have any questions. Regards.",0
Internal Audit Inquiry: You are required to review the financial report document immediately and log in to sign the NDA: http://finance-audit-nda.net,1
Action Required: System administrators require you to verify your account credentials within 24 hours. Failure to comply leads to termination. Log in here: http://verify-now.net,1
HR Notice: Annual payroll updates required. Review your direct deposit information and verify SSN on our new portal: http://hr-payroll-portal-update.net/login,1
Re-activate Netflix Account: We could not process your last subscription payment. Update your credit card details immediately: http://netflix-payment-retry.com,1
Action Required: System administrators require you to verify your account credentials within 24 hours. Failure to comply leads to termination. Log in here: http://verify-now.net,1
"Hello team, this is Project Coordinator sending the notes regarding our lunch plans. Let me know if you have any questions. Sincerely.",0
Immediate Action Needed: System administrators require you to confirm your identity within 24 hours. Failure to comply leads to termination. Log in here: http://secure-access-update.com,1
Update details: System administrators require you to check unauthorized logins within 24 hours. Failure to comply leads to termination. Log in here: http://resolution-center.org,1
"Hello team, this is David sending the notes regarding our feedback survey. Let me know if you have any questions. Thanks.",0
Immediate Action Needed: System administrators require you to confirm your identity within 24 hours. Failure to comply leads to termination. Log in here: http://secure-access-update.com,1
"Hello team, this is David sending the notes regarding our feedback survey. Let me know if you have any questions. Thanks.",0
Action Required: System administrators require you to update billing data within 24 hours. Failure to comply leads to termination. Log in here: http://login-portal-auth.info,1
"Hello team, this is HR Department sending the notes regarding our shared documentation. Let me know if you have any questions. Have a great day.",0
